source,target
4610,16178
11173,16178
16178,1319490
926,16178
1905,16178
20903,20903
20903,22082
19506,20903
20903,225863
16896,20903
20903,34982
20903,571562
20903,963818
20903,86314
22082,22082
22082,43458
22082,104646
22082,63681
3085,22082
19506,22082
22082,210344
22082,1547914
19506,19506
19506,60279
19506,1082094
12077,19506
19506,34982
12900,19506
19506,19507
15831,19506
16418,19506
15761,19506
19506,1178795
19506,27811
19506,42160
19506,56930
11770,11770
11770,11813
11770,15406
11770,14999
11770,73040
11770,27993
11770,2932562
11770,2838131
511,11770
4600,11770
11770,31211
11770,1432094
515,11770
11770,2772005
11770,44810
4785,11770
6929,11770
113,11770
4955,11770
11770,44038
3027,11770
11770,131120
11770,229715
11770,1250815
6856,11770
11770,65827
11065,11770
515,32396
515,515
515,36190
515,44712
515,2056726
515,66776
515,40389
515,5699
43774,43774
43774,99596
43774,61956
43774,2628845
38026,43774
43774,51641
43774,45445
923,43774
43774,156485
43774,1213549
43774,44762
650,43774
43774,104021
99596,99596
61956,99596
44762,99596
650,99596
99596,104021
17005,99596
99596,109870
99596,235722
11173,99596
99596,1319490
61956,61956
61956,1660251
113,113
113,510
113,4955
113,1116483
113,12688
113,69344
113,131814
113,19794
113,72717
113,38037
113,222054
113,1483204
113,1483206
113,936
5,113
113,1241229
113,2922
113,2532964
113,2532965
113,44762
113,650
113,104021
109,113
113,1327
113,882
113,3070363
113,3070364
113,1313
4955,4955
4955,88164
4955,34546
4955,2183911
3027,4955
4955,131120
4955,14999
4955,100507
4955,105685
4955,32055
3027,3027
3027,131120
3027,107094
3027,38832
3027,12074
3027,11155
3027,4027
3027,1330888
3027,83002
3027,2501669
131120,131120
